id,applicant,type,typeDescription,applicationNumber,academicPeriod,academicPeriodDescription,admissionPopulation,admissionPopulationDescription,USFadmissionPopulationDescription,residencyType,residencyTypeDescription,academicLoad,academicLoadDescription,appliedOn,submitted_application,admittedOn,admittedDateUSF,admittedUSF,meltUSF,applicationStatus,applicationStatusDescription,applicationStatusDate,LEVEL,levelDescription,COLLEGE_CODE,COLLEGE_DESC,USF_COLLEGE_NAME,DEGREE_CODE,DEGREE_DESC,MAJOR_CODE,MAJOR_DESC,CAMPUS_CODE,CAMPUS_DESC,date_deposited,Deposited
83717792-ebc7-43bd-b124-b9eef5ab33e8,3967661,,Regular Decision,,202540,Fall 2025,D,Doctoral,,D,Non Resident Alien,F,fullTime,12/1/24,,3/18/25,,,,D,Decision Made,3/18/25,GR,Doctoral,ED,School of Education,,EDD,Doctor of Education,IME,Intl and Multicultural Educ.,,,4/20/25,TRUE
772ab4d3-f126-4224-a1b5-c9d3504c2fe3,3701211,,Early Decision II,,202540,Fall 2025,U,Undergraduate,,D,U.S Citizen,F,fullTime,12/31/24,,2/2/25,,,,D,Decision Made,2/2/25,UG,Undergraduate,SC,College of Arts and Sci (Sci),,BS,Bachelor of Science,ANT,Anthropology,,,2/3/25,TRUE
732c40d2-46e4-4232-9f39-931e9e45ed20,3333837,,Early Decision II,,202540,Fall 2025,D,Doctoral,,D,Non Resident Alien,F,fullTime,11/29/24,,,,,,C,Complete ready for review,9/11/24,GR,Doctoral,ED,School of Education,,EDD,Doctor of Education,L&I,Learning and Instruction,,,,FALSE
6bb79516-2024-412a-880c-3781e5ed9ebf,3014767,,Early Action,,202540,Fall 2025,1,First-Year Law,,D,U.S Citizen,F,fullTime,9/25/24,,,,,,C,Complete ready for review,12/10/24,UG,Law,LW,School of Law,,JD,Juris Doctor,LAW,Law,,,,FALSE
25fabd2f-12f0-4698-b620-001c510ad98a,3394419,,Early Decision II,,202540,Fall 2025,G,Graduate,,D,Non Resident Alien,F,fullTime,11/23/24,,2/1/25,,,,D,Decision Made,3/25/25,GR,Graduate,ED,School of Education,,MA,Master of Arts,CPSY,Counseling Psychology,,,2/9/25,TRUE
ae602ffa-8a12-498c-9e82-652686f6bb43,3152526,,Early Decision I,,202540,Fall 2025,G,GR-Law,,D,U.S Citizen,F,fullTime,9/25/24,,12/10/24,,,,D,Decision Made,12/13/25,GR,GR-Law,LW,School of Law,,JD,Juris Doctor,LAW,Law,,,2/15/25,TRUE
1f586d6a-5ecd-4f4d-b8ab-835611baeb3f,3446511,,Early Decision II,,202540,Fall 2025,G,Graduate,,I,Non Resident Alien,F,fullTime,1/4/25,,,,,,C,Complete ready for review,12/12/24,GR,Graduate,LA,College of Arts and Sci (Arts),,MA,Master of Arts,MUSE,Museum Studies,,,,FALSE
a3e9f838-d848-41c1-b95a-e85ca31804b7,3763691,,Early Decision II,,202540,Fall 2025,1,First-Year Law,,D,Non Resident Alien,F,fullTime,11/30/24,,,,,,C,Complete ready for review,2/15/25,UG,Law,LW,School of Law,,JD,Juris Doctor,LAW,Law,,,,FALSE
d4511407-361a-4875-b706-c7e3374561cb,3013767,,Regular Decision,,202540,Fall 2025,1,First-Year Law,,D,Non Resident Alien,F,fullTime,10/7/24,,,,,,C,Complete ready for review,6/18/25,UG,Law,LW,School of Law,,JD,Juris Doctor,LAW,Law,,,,FALSE
cbc673dd-be8e-4078-b648-65fd48105fa7,3967974,,Regular Decision,,202540,Fall 2025,D,Doctoral,,D,U.S Citizen,F,fullTime,12/16/24,,,,,,C,Complete ready for review,10/24/24,GR,Doctoral,ED,School of Education,,EDD,Doctor of Education,O&L,Organization and Leadership,,,,FALSE
468b90de-bd25-46fc-9a70-e80405dfd061,3585180,,Regular Decision,,202540,Fall 2025,1,First-Year Law,,D,Non Resident Alien,F,fullTime,11/19/24,,3/25/25,,,,D,Decision Made,9/12/25,UG,Law,LW,School of Law,,JD,Juris Doctor,LAW,Law,,,3/31/25,TRUE
f53acab6-e9c8-4a45-971e-7473c1c6013b,3840915,,Early Decision II,,202540,Fall 2025,G,Graduate,,D,U.S Citizen,F,fullTime,1/2/25,,,,,,C,Complete ready for review,12/10/24,GR,Graduate,LA,College of Arts and Sci (Arts),,MA,Master of Arts,MUSE,Museum Studies,,,,FALSE
d55ea3ef-ae60-4741-ae51-fd9257fd38d3,3471409,,Early Action,,202540,Fall 2025,U,Undergraduate,,D,Non Resident Alien,F,fullTime,1/4/25,,,,,,C,Complete ready for review,10/10/25,UG,Undergraduate,LA,College of Arts and Sci (Arts),,BA,Bachelor of Arts,ECN,Economics,,,,FALSE
e53a9be1-3111-419b-b046-4f58137be017,3238276,,Early Decision II,,202540,Fall 2025,G,GR-Law,,D,U.S Citizen,F,fullTime,11/16/24,,2/14/25,,,,D,Decision Made,5/27/25,GR,GR-Law,LW,School of Law,,JD,Juris Doctor,LAW,Law,,,2/25/25,TRUE
65e27528-49a6-4539-aa1b-395efcf72df8,3641361,,Early Action,,202540,Fall 2025,D,Doctoral,,D,Non Resident Alien,F,fullTime,9/16/24,,,,,,C,Complete ready for review,12/9/24,GR,Doctoral,ED,School of Education,,EDD,Doctor of Education,L&I,Learning and Instruction,,,,FALSE
7bdfeebe-fe75-4004-9e92-b7c7f3143301,3431301,,Regular Decision,,202540,Fall 2025,1,First-Year Law,,D,U.S Citizen,F,fullTime,11/26/24,,,,,,C,Complete ready for review,6/22/25,UG,Law,LW,School of Law,,JD,Juris Doctor,LAW,Law,,,,FALSE
fd12161e-1b86-4016-9957-7fa8b6a63ec9,3688501,,Early Decision I,,202540,Fall 2025,1,First-Year Law,,D,Non Resident Alien,F,fullTime,10/29/24,,12/12/24,,,,D,Decision Made,12/11/24,UG,Law,LW,School of Law,,JD,Juris Doctor,LAW,Law,,,2/3/25,TRUE
07a12e68-752b-4782-bbed-f4ed748ac3c0,3734396,,Early Decision I,,202540,Fall 2025,D,Doctoral,,D,U.S Citizen,F,fullTime,10/15/24,,12/12/24,,,,D,Decision Made,2/13/25,GR,Doctoral,ED,School of Education,,EDD,Doctor of Education,L&I,Learning and Instruction,,,1/31/25,TRUE
83d9626b-2c9f-4538-b10c-053d17a9b9b4,3803834,,Regular Decision,,202540,Fall 2025,G,Graduate,,D,Non Resident Alien,F,fullTime,12/13/24,,3/27/25,,,,D,Decision Made,12/14/24,GR,Graduate,ED,School of Education,,MA,Master of Arts,HESA,Higher Ed / Student Affairs,,,4/2/25,FALSE
7d7c10d9-cf2e-4008-9b2e-7cc0931e0f15,3209149,,Early Decision II,,202540,Fall 2025,D,Doctoral,,D,Non Resident Alien,F,fullTime,12/13/24,,1/20/25,,,,D,Decision Made,2/16/25,GR,Doctoral,ED,School of Education,,EDD,Doctor of Education,O&L,Organization and Leadership,,,2/16/25,FALSE
6440b7a1-9d07-46ee-ba2a-04814f25cb67,3257450,,Early Decision II,,202540,Fall 2025,G,Graduate,,D,Non Resident Alien,F,fullTime,11/1/24,,1/25/25,,,,D,Decision Made,5/20/25,GR,Graduate,SC,College of Arts and Sci (Sci),,PSM,Professional Science Master's,BTEC,Biotechnology,,,,TRUE
def8b08a-fe8b-42e0-81d7-4263be38df49,3043718,,Early Decision I,,202540,Fall 2025,G,Graduate,,D,Non Resident Alien,F,fullTime,9/24/24,,12/10/24,,,,D,Decision Made,12/16/25,GR,Graduate,ED,School of Education,,MA,Master of Arts,TSOL,Teach Engl/Speakers Other Lang,,,,FALSE
296635ea-4ae3-4c39-825e-40b5eb2892a0,3580247,,Early Decision I,,202540,Fall 2025,G,GR-Law,,D,U.S Citizen,F,fullTime,9/30/24,,12/15/24,,,,D,Decision Made,10/28/24,GR,GR-Law,LW,School of Law,,JD,Juris Doctor,LAW,Law,,,,FALSE
625d4ccb-bd4e-439e-a092-c808b3d4ac7b,3293510,,Regular Decision,,202540,Fall 2025,G,Graduate,,D,U.S Citizen,F,fullTime,11/26/24,,3/3/25,,,,D,Decision Made,9/10/24,GR,Graduate,NS,School of Nursing,,MPH,Master of Public Health,MPH,Public Health,,,,TRUE
1076f2ae-dcee-4f00-80cc-4147ca148156,3734171,,Early Decision I,,202540,Fall 2025,G,GR-Law,,D,Non Resident Alien,F,fullTime,10/16/24,,12/9/24,,,,D,Decision Made,10/31/25,GR,GR-Law,LW,School of Law,,JD,Juris Doctor,LAW,Law,,,,FALSE
c8e3ba2e-eed4-481e-8034-b2e5600427a0,3269358,,Early Decision II,,202540,Fall 2025,D,Doctoral,,D,Non Resident Alien,F,fullTime,12/15/24,,1/14/25,,,,D,Decision Made,11/3/24,GR,Doctoral,ED,School of Education,,EDD,Doctor of Education,O&L,Organization and Leadership,,,,FALSE
095c6635-ad13-4825-a539-68e23b86c6d9,3471404,,Early Action,,202440,Fall 2025,G,Graduate,,D,U.S Citizen,F,fullTime,9/20/24,,12/11/24,,,,D,Decision Made,11/7/24,GR,Graduate,NS,School of Nursing,,MPH,Master of Public Health,MPH,Public Health,,,,TRUE
906abadb-502f-413b-b06f-26359b762742,3378147,,Early Decision II,,202440,Fall 2025,1,First-Year Law,,D,U.S Citizen,F,fullTime,12/1/24,,2/13/25,,,,D,Decision Made,8/28/25,UG,Law,LW,School of Law,,JD,Juris Doctor,LAW,Law,,,2/15/25,FALSE
2d200a01-59d1-40d9-a8b3-caea80fff579,3493182,,Early Action,,202440,Fall 2025,D,Doctoral,,D,U.S Citizen,F,fullTime,10/18/24,,,,,,C,Complete ready for review,11/1/25,GR,Doctoral,ED,School of Education,,EDD,Doctor of Education,O&L,Organization and Leadership,,,,FALSE
2fcef87b-8d8e-4ba8-85ce-11c90744056a,3927285,,Early Decision I,,202440,Fall 2025,G,GR-Law,,D,Non Resident Alien,F,fullTime,9/7/24,,,,,,C,Complete ready for review,12/15/25,GR,GR-Law,LW,School of Law,,JD,Juris Doctor,LAW,Law,,,,FALSE
f8767abc-19a0-468f-b02e-ba4b9efd3527,3049642,,Early Action,,202440,Fall 2025,G,Graduate,,D,U.S Citizen,F,fullTime,9/23/24,,12/14/24,,,,D,Decision Made,12/8/24,GR,Graduate,ED,School of Education,,MA,Master of Arts,CPSY,Counseling Psychology,,,,FALSE
b00d38ce-1534-47fd-85f0-df1d3566f3f1,3660993,,Early Decision II,,202440,Fall 2025,D,Doctoral,,D,U.S Citizen,F,fullTime,11/27/24,,,,,,C,Complete ready for review,10/15/25,GR,Doctoral,ED,School of Education,,EDD,Doctor of Education,IME,Intl and Multicultural Educ.,,,,FALSE
38b67e02-251f-47f1-9292-5ac332f5f7e6,3169453,,Regular Decision,,202440,Fall 2025,1,First-Year Law,,I,U.S Citizen,P,partTime,12/23/24,,3/18/25,,,,D,Decision Made,8/14/25,UG,Law,LW,School of Law,,JD,Juris Doctor,LAW,Law,,,,TRUE
ab1eaafd-cb03-4bd4-9258-278b908e7e14,3334542,,Regular Decision,,202440,Fall 2025,D,Doctoral,,D,Non Resident Alien,F,fullTime,12/23/24,,,,,,C,Complete ready for review,3/7/25,GR,Doctoral,ED,School of Education,,EDD,Doctor of Education,L&I,Learning and Instruction,,,,FALSE
73dbd934-ef35-4cb7-ae61-2a22b18164d7,3678274,,Early Decision I,,202440,Fall 2025,U,Undergraduate,,D,U.S Citizen,F,fullTime,10/26/24,,12/18/24,,,,D,Decision Made,11/27/24,UG,Undergraduate,ED,School of Education,,BA,Bachelor of Arts,EDU,Education,,,2/16/25,TRUE
04c04d94-a313-4f05-8504-15213c439202,3569436,,Regular Decision,,202440,Fall 2025,G,Graduate,,D,U.S Citizen,F,fullTime,11/24/24,,,,,,C,Complete ready for review,12/10/24,GR,Graduate,ED,School of Education,,MA,Master of Arts,CPSY,Counseling Psychology,,,,FALSE
a88c42b1-a778-4101-a39c-3bd374b80520,3173331,,Early Action,,202440,Fall 2025,1,First-Year Law,,D,Non Resident Alien,F,fullTime,9/6/24,,,,,,C,Complete ready for review,11/3/24,UG,Law,LW,School of Law,,JD,Juris Doctor,LAW,Law,,,,FALSE
05ba219d-8954-413e-9e3a-7da6ad265a8a,3435502,,Early Action,,202440,Fall 2025,G,GR-Law,,D,Non Resident Alien,F,fullTime,10/4/24,,12/16/25,,,,D,Decision Made,6/17/25,GR,GR-Law,LW,School of Law,,JD,Juris Doctor,LAW,Law,,,4/16/25,TRUE
