id,applicant,type,typeDescription,applicationNumber,academicPeriod,academicPeriodDescription,admissionPopulation,admissionPopulationDescription,USFadmissionPopulationDescription,residencyType,residencyTypeDescription,academicLoad,academicLoadDescription,appliedOn,submitted_application,admittedOn,admittedDateUSF,admittedUSF,meltUSF,applicationStatus,applicationStatusDescription,applicationStatusDate,LEVEL,levelDescription,COLLEGE_CODE,COLLEGE_DESC,USF_COLLEGE_NAME,DEGREE_CODE,DEGREE_DESC,MAJOR_CODE,MAJOR_DESC,CAMPUS_CODE,CAMPUS_DESC,date_deposited,Deposited
54b176e8-7dec-4db4-abc2-f3997de77ae1,3756953,,Early Decision II,8965134,202440,Fall 40,D,Doctoral,,R,Resident Alien,F,fullTime,8/2/24,,9/11/24,,FALSE,,P,Prospect,8/2/24,D,Doctoral,BU,School of Business,School of Business,EDD,Doctor of Education,ENT,Entrepreneurship,HYBRID,Hybrid,10/24/24,FALSE
42964867-afdb-4665-90b3-79ac31df6deb,3216291,,Rolling Admission,3769727,202540,Fall 40,D,Doctoral,,D,U.S Citizen,P,partTime,3/30/24,,7/11/24,,FALSE,,P,Prospect,3/30/24,D,Doctoral,NS,School of Nursing,School of Nursing,EDD,Doctor of Education,HCA,Health Care Administration,ONLINE,Online,8/1/24,FALSE
3386ecd0-230b-45f9-abb3-2e5e90349951,3870669,,Early Decision II,8747108,202540,Fall 40,GR,Graduate,,R,Resident Alien,P,partTime,1/24/24,,,,FALSE,,P,Prospect,1/24/24,GR,Graduate,ED,School of Education,School of Education,MS,Master of Science,CPSY,Counseling Psychology,MAIN,Main Campus,,FALSE
ff1e1db3-0666-4ad8-97d9-e364105f72ef,3689742,,Early Action,1447874,202440,Fall 40,D,Doctoral,,R,Resident Alien,F,fullTime,8/27/24,,11/13/24,,FALSE,,P,Prospect,8/27/24,D,Doctoral,LA,College of Arts and Sci (Arts),College of Arts and Sci (Arts),EDD,Doctor of Education,PHIL,Philosophy,HYBRID,Hybrid,12/14/24,FALSE
5e487116-da9a-44f9-9a01-fedca31bf7f2,3021128,,Regular Decision,9464992,202540,Fall 40,GR,Graduate,,I,Non Resident Alien,F,fullTime,3/20/24,,,,FALSE,,P,Prospect,3/20/24,GR,Graduate,EN,School of Engineering,School of Engineering,MA,Master of Arts,CHEM,Chemical Engineering,MAIN,Main Campus,,FALSE
e3ebedcd-7bf9-4b81-864b-493b630620e2,3934877,,Early Action,4777709,202440,Fall 40,GR,Graduate,,R,Resident Alien,F,fullTime,8/30/24,,10/20/24,,FALSE,,P,Prospect,8/30/24,GR,Graduate,EN,School of Engineering,School of Engineering,MFA,Master of Fine Arts,MECH,Mechanical Engineering,HYBRID,Hybrid,11/22/24,FALSE
16032c7f-de33-44ef-a361-f01f2a8031b9,3159960,,Early Decision I,1613786,202540,Fall 40,D,Doctoral,,D,U.S Citizen,P,partTime,1/8/24,,4/12/24,,FALSE,,P,Prospect,1/8/24,D,Doctoral,ED,School of Education,School of Education,MD,Doctor of Medicine,L&I,Learning and Instruction,ONLINE,Online,5/24/24,FALSE
e981374c-2e98-4d95-8fbf-54eba7c49548,3233348,,Early Decision I,8289771,202440,Fall 40,GR,Graduate,,I,Non Resident Alien,P,partTime,9/15/24,,12/13/24,,FALSE,,P,Prospect,9/15/24,GR,Graduate,ED,School of Education,School of Education,MS,Master of Science,EDU,Education,MAIN,Main Campus,,FALSE
af6be397-303d-4800-8961-53d1dc73518f,3535548,,Early Decision I,7947166,202540,Fall 40,UG,Graduate,,D,U.S Citizen,F,fullTime,1/29/24,,,,FALSE,,P,Prospect,1/29/24,UG,Graduate,AR,School of Architecture,School of Architecture,BBA,Bachelor of Business Administration,GEN,General Studies,ONLINE,Online,,FALSE
57c7aa02-2024-4edc-932d-db5ed06aef61,3726567,,Early Decision II,5694523,202440,Fall 40,D,Doctoral,,D,U.S Citizen,F,fullTime,8/13/24,,,,FALSE,,P,Prospect,8/13/24,D,Doctoral,NS,School of Nursing,School of Nursing,PHD,Doctor of Philosophy,HCA,Health Care Administration,MAIN,Main Campus,,FALSE
1a6c70f0-1c5b-4e94-b783-e397ef41dd95,3077985,,Early Decision I,7038302,202440,Fall 40,D,Doctoral,,I,Non Resident Alien,P,partTime,8/20/24,,10/3/24,,FALSE,,P,Prospect,8/20/24,D,Doctoral,NS,School of Nursing,School of Nursing,JD,Juris Doctor,HCA,Health Care Administration,HYBRID,Hybrid,,FALSE
564693c1-8a38-4824-9196-14d59981f184,3419120,,Early Decision II,2106449,202440,Fall 40,GR,Graduate,,R,Resident Alien,P,partTime,8/23/24,,,,FALSE,,P,Prospect,8/23/24,GR,Graduate,ED,School of Education,School of Education,MS,Master of Science,TSOL,Teach Engl/Speakers Other Lang,HYBRID,Hybrid,,FALSE
7c2a7d64-0610-4e8e-93cb-d9c452ef2dc9,3860061,,Early Decision I,2104683,202540,Fall 40,D,Doctoral,,R,Resident Alien,P,partTime,1/25/24,,4/14/24,,FALSE,,P,Prospect,1/25/24,D,Doctoral,SC,College of Arts and Sci (Sci),College of Arts and Sci (Sci),PHD,Doctor of Philosophy,BIO,Biology,MAIN,Main Campus,4/29/24,FALSE
